nom,latitude,longitude,code_postal,codes_postaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latitude_centre,longitude_centre
Jassans-Riottier,45.978,4.76,1480,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.978,4.76
Jasseron,46.215,5.312,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.215,5.312
Jayat,46.366,5.114,1340,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.366,5.114
Journans,46.146,5.334,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.146,5.334
Joyeux,45.95,5.103,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.95,5.103
Jujurieux,46.05,5.411,1640,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05,5.411
Labalme,46.093,5.494,1450,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.093,5.494
Lagnieu,45.892,5.329,1150,"01154, 01151, 01150, 01152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.892,5.329
Laiz,46.247,4.899,1290,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.247,4.899
Le Poizat-Lalleyriat,46.148,5.718,1130,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.148,5.718
Lantenay,46.054,5.541,1430,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.054,5.541
Lapeyrouse,45.986,4.982,1330,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.986,4.982
Lavours,45.811,5.773,1350,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.811,5.773
Léaz,46.109,5.876,1200,"01200, 01206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.109,5.876
Lélex,46.286,5.929,1410,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.286,5.929
Lent,46.116,5.202,1240,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.116,5.202
Lescheroux,46.412,5.151,1560,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.412,5.151
Leyment,45.927,5.295,1150,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.927,5.295
Leyssard,46.162,5.476,1450,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.162,5.476
Surjoux-Lhopital,46.024,5.762,1420,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.024,5.762
Lhuis,45.744,5.536,1680,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.744,5.536
Lompnas,45.811,5.523,1680,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.811,5.523
Loyettes,45.792,5.218,1360,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.792,5.218
